Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,annual_mileage,Cars_built,engine_capacity
28,123,2005,11,290000.0,1900.0,0,1,3999.0,17,17058.82,2,1,2
40,102,2017,3,106000.0,2500.0,2,0,22000.0,5,21200.0,0,0,2
2,9,2003,11,334000.0,2500.0,0,1,6800.0,19,17578.95,0,1,2
19,99,2008,9,207000.0,2700.0,0,1,11990.0,14,14785.71,2,1,2
34,101,2012,5,150000.0,1600.0,0,1,4700.0,10,15000.0,2,1,1
2,9,2015,10,1234.0,2000.0,0,0,21500.0,7,176.29,1,1,2
30,39,2008,3,150000.0,4800.0,4,0,12900.0,14,10714.29,1,1,0
32,80,2012,11,254000.0,1500.0,0,1,7099.0,10,25400.0,0,1,1
6,101,2011,6,100000.0,1600.0,4,1,3800.0,11,9090.91,1,1,1
13,35,2004,9,180000.0,2000.0,4,1,7200.0,18,10000.0,1,0,2
42,88,2004,10,214000.0,1800.0,3,0,3700.0,18,11888.89,2,1,1
23,48,2004,10,343150.0,3222.0,0,0,8500.0,18,19063.89,0,1,2
6,77,2014,11,156800.0,1500.0,0,1,5650.0,8,19600.0,0,1,1
1,17,2020,10,35000.0,1968.0,0,0,39500.0,2,17500.0,0,1,2
6,76,2009,11,224000.0,1500.0,0,1,3799.0,13,17230.77,0,1,1
42,66,2006,10,190000.0,1600.0,4,1,4699.0,16,11875.0,1,1,1
40,92,2007,4,167000.0,1500.0,4,0,6500.0,15,11133.33,1,0,1
40,101,2012,6,150000.0,1800.0,2,0,9699.0,10,15000.0,2,0,1
2,129,2006,3,123129.0,3000.0,4,0,14000.0,16,7695.56,1,1,2
32,62,2011,11,239000.0,1500.0,0,0,6900.0,11,21727.27,0,1,1
27,95,2013,3,220000.0,1500.0,0,1,8800.0,9,24444.44,0,0,1
1,17,2009,10,270000.0,2000.0,4,1,9200.0,13,20769.23,0,1,2
40,24,2011,4,176200.0,1400.0,0,1,7599.0,11,16018.18,2,0,1
32,101,2015,11,198000.0,1500.0,0,0,10950.0,7,28285.71,0,1,1
32,80,2006,0,180000.0,1500.0,0,1,4500.0,16,11250.0,1,1,1
32,80,2010,10,220100.0,1500.0,0,1,5000.0,12,18341.67,0,1,1
40,45,2006,6,300000.0,1800.0,4,1,6000.0,16,18750.0,0,0,1
25,87,2013,9,222369.0,2000.0,5,0,13400.0,9,24707.67,0,0,2
2,101,2015,10,80000.0,2000.0,4,0,19999.0,7,11428.57,1,1,2
18,103,2006,4,290000.0,1500.0,0,1,3200.0,16,18125.0,0,0,1
2,6,2000,10,200000.0,2000.0,0,1,3500.0,22,9090.91,1,1,2
23,48,2017,10,50000.0,2000.0,4,0,29900.0,5,10000.0,1,1,2
40,45,2007,11,302718.0,2231.0,0,1,7000.0,15,20181.2,0,0,2
42,88,2015,11,115000.0,1400.0,4,0,11200.0,7,16428.57,2,1,1
42,88,2015,10,106000.0,2000.0,0,0,13799.0,7,15142.86,2,1,2
39,101,2006,3,215800.0,2000.0,4,0,7200.0,16,13487.5,2,0,2
42,37,2012,6,186000.0,1600.0,0,1,6200.0,10,18600.0,0,1,1
19,99,2013,9,215000.0,3000.0,4,0,39000.0,9,23888.89,0,1,2
22,101,2007,9,173451.0,2300.0,3,0,6750.0,15,11563.4,1,0,2
42,88,2008,11,260000.0,1798.0,4,1,5550.0,14,18571.43,0,1,1
1,15,2012,11,186400.0,1799.0,4,1,9499.0,10,18640.0,0,1,1
35,101,2017,11,137000.0,1400.0,3,0,12950.0,5,27400.0,0,1,1
23,126,2015,5,216000.0,2200.0,0,0,20000.0,7,30857.14,0,1,2
35,114,2016,10,105000.0,2000.0,0,0,23500.0,6,17500.0,0,1,2
2,9,2004,10,218569.0,3000.0,0,1,13300.0,18,12142.72,2,1,2
35,85,2018,10,157000.0,1600.0,0,0,15800.0,4,39250.0,0,1,1
23,78,2005,9,195400.0,2700.0,0,0,4500.0,17,11494.12,1,1,2
42,101,2005,10,193000.0,3000.0,0,0,9499.0,17,11352.94,1,1,2
2,6,2000,11,300000.0,2000.0,4,0,4500.0,22,13636.36,2,1,2
42,61,2011,4,155849.0,1400.0,4,0,7850.0,11,14168.09,2,1,1
23,126,2010,6,220000.0,2200.0,0,0,10999.0,12,18333.33,0,1,2
42,66,2013,10,175000.0,1400.0,2,0,9390.0,9,19444.44,0,1,1
22,101,2005,4,109131.0,1388.0,4,0,4300.0,17,6419.47,1,0,1
3,101,2012,4,140000.0,1400.0,5,0,8299.0,10,14000.0,2,3,1
23,48,2006,10,400000.0,2200.0,0,1,8200.0,16,25000.0,0,1,2
27,95,2016,3,175000.0,1500.0,0,1,12999.0,6,29166.67,0,0,1
40,92,2015,4,165000.0,1800.0,2,0,10200.0,7,23571.43,0,0,1
2,9,2000,10,227000.0,2000.0,4,1,5490.0,22,10318.18,1,1,2
2,9,2005,10,256105.0,2500.0,3,0,7599.0,17,15065.0,2,1,2
13,35,2004,3,225000.0,2000.0,3,0,6800.0,18,12500.0,2,0,2
20,97,2010,3,241000.0,3500.0,2,0,19999.0,12,20083.33,0,0,0
32,62,2015,11,177000.0,1500.0,0,0,8900.0,7,25285.71,0,1,1
42,66,2013,10,119000.0,1400.0,4,0,8500.0,9,13222.22,2,1,1
32,108,2013,4,124000.0,1500.0,0,1,8490.0,9,13777.78,2,1,1
35,101,2008,11,229000.0,1400.0,3,1,3999.0,14,16357.14,2,1,1
29,101,2009,4,175000.0,1400.0,4,0,5200.0,13,13461.54,2,1,1
